% number of nodes
39
% number of vehicles
7
% for each vehicle: vehicle index, home node, starting time, capacity
1,8,102,13200
2,13,72,13200
3,31,49,16500
4,14,0,16500
5,12,0,24000
6,12,0,24000
7,27,39,5800
% number of calls
35
% for each vehicle, vehicle index, and then a list of calls that can be transported using that vehicle
1,1,2,4,8,9,10,11,12,13,14,17,18,20,21,22,24,26,27,28,29,30,31,33,35
2,1,2,4,5,8,9,10,11,12,13,14,17,18,20,21,22,23,24,26,27,29,30,31,33,34,35
3,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35
4,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
7,1,8,12,13,14,18,21,28,29,31,35
% for each call: call index, origin node, destination node, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,10,38,3838,486864,981,1053,981,1501
2,29,17,7822,867452,852,924,852,1417
3,17,39,15456,573117,184,256,184,779
4,29,27,12362,571695,1248,1320,1248,1790
5,4,34,3136,269649,123,195,123,577
6,11,35,5682,450486,0,72,0,624
7,31,36,2330,512866,12,84,12,506
8,30,36,4364,592380,606,678,606,1336
9,1,17,9121,360621,1160,1232,1160,1576
10,34,8,10786,565067,536,608,536,1167
11,11,34,9567,372154,667,739,667,1099
12,10,14,5315,525320,151,223,151,947
13,29,36,5016,602162,199,271,199,708
14,29,27,2639,406999,637,709,637,1204
15,30,34,15891,488559,948,1020,948,1510
16,33,36,14908,328658,406,478,406,874
17,33,34,12383,452354,243,315,243,721
18,31,37,5193,636144,310,382,310,888
19,30,37,6711,1076675,16,88,16,666
20,4,6,10132,598184,757,829,757,1294
21,14,19,4421,308776,118,190,118,554
22,30,27,10542,538145,591,663,591,1089
23,12,1,11485,527497,67,139,67,551
24,29,35,7054,471006,693,765,693,1543
25,1,39,14539,783125,82,154,82,619
26,10,38,10285,522062,1166,1238,1166,1676
27,6,12,7463,472249,907,979,907,1390
28,24,1,2421,384218,54,126,54,457
29,11,34,2934,426236,465,537,465,1327
30,10,35,9638,620211,414,486,414,978
31,10,37,3299,538409,1104,1176,1104,1670
32,29,12,14049,524063,960,1032,960,1422
33,9,5,11410,596814,820,892,820,1324
34,31,37,9428,520594,60,132,60,801
35,33,39,2377,351367,426,498,426,840
% travel times and costs: vehicle, origin node, destination node, travel time (in minutes), travel cost (in Euro)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
7,1,1,0,0
1,1,2,71,48031
2,1,2,71,48031
3,1,2,66,38871
4,1,2,66,38871
5,1,2,80,53272
6,1,2,80,53272
7,1,2,71,24635
1,1,3,19,12930
2,1,3,19,12930
3,1,3,18,10464
4,1,3,18,10464
5,1,3,21,14341
6,1,3,21,14341
7,1,3,19,6632
1,1,4,134,90788
2,1,4,134,90788
3,1,4,125,73474
4,1,4,125,73474
5,1,4,150,100694
6,1,4,150,100694
7,1,4,134,46564
1,1,5,66,45000
2,1,5,66,45000
3,1,5,62,36418
4,1,5,62,36418
5,1,5,75,49910
6,1,5,75,49910
7,1,5,66,23080
1,1,6,23,15911
2,1,6,23,15911
3,1,6,22,12877
4,1,6,22,12877
5,1,6,26,17647
6,1,6,26,17647
7,1,6,23,8161
1,1,7,21,14445
2,1,7,21,14445
3,1,7,20,11690
4,1,7,20,11690
5,1,7,24,16021
6,1,7,24,16021
7,1,7,21,7409
1,1,8,8,5106
2,1,8,8,5106
3,1,8,7,4132
4,1,8,7,4132
5,1,8,8,5663
6,1,8,8,5663
7,1,8,8,2619
1,1,9,52,35625
2,1,9,52,35625
3,1,9,49,28831
4,1,9,49,28831
5,1,9,59,39512
6,1,9,59,39512
7,1,9,52,18272
1,1,10,116,78762
2,1,10,116,78762
3,1,10,108,63741
4,1,10,108,63741
5,1,10,131,87356
6,1,10,131,87356
7,1,10,116,40396
1,1,11,110,74439
2,1,11,110,74439
3,1,11,102,60243
4,1,11,102,60243
5,1,11,123,82562
6,1,11,123,82562
7,1,11,110,38179
1,1,12,63,42752
2,1,12,63,42752
3,1,12,59,34599
4,1,12,59,34599
5,1,12,71,47417
6,1,12,71,47417
7,1,12,63,21927
1,1,13,58,39524
2,1,13,58,39524
3,1,13,54,31987
4,1,13,54,31987
5,1,13,66,43837
6,1,13,66,43837
7,1,13,58,20272
1,1,14,24,16035
2,1,14,24,16035
3,1,14,22,12977
4,1,14,22,12977
5,1,14,27,17784
6,1,14,27,17784
7,1,14,24,8224
1,1,15,28,18784
2,1,15,28,18784
3,1,15,26,15202
4,1,15,26,15202
5,1,15,31,20834
6,1,15,31,20834
7,1,15,28,9634
1,1,16,21,14424
2,1,16,21,14424
3,1,16,20,11673
4,1,16,20,11673
5,1,16,24,15998
6,1,16,24,15998
7,1,16,21,7398
1,1,17,32,22026
2,1,17,32,22026
3,1,17,30,17826
4,1,17,30,17826
5,1,17,37,24430
6,1,17,37,24430
7,1,17,32,11297
1,1,18,67,45672
2,1,18,67,45672
3,1,18,63,36963
4,1,18,63,36963
5,1,18,76,50656
6,1,18,76,50656
7,1,18,67,23425
1,1,19,28,18710
2,1,19,28,18710
3,1,19,26,15142
4,1,19,26,15142
5,1,19,31,20752
6,1,19,31,20752
7,1,19,28,9596
1,1,20,95,64634
2,1,20,95,64634
3,1,20,89,52308
4,1,20,89,52308
5,1,20,107,71686
6,1,20,107,71686
7,1,20,95,33150
1,1,21,97,65901
2,1,21,97,65901
3,1,21,90,53333
4,1,21,90,53333
5,1,21,109,73091
6,1,21,109,73091
7,1,21,97,33800
1,1,22,21,14128
2,1,22,21,14128
3,1,22,19,11434
4,1,22,19,11434
5,1,22,23,15670
6,1,22,23,15670
7,1,22,21,7246
1,1,23,19,12941
2,1,23,19,12941
3,1,23,18,10473
4,1,23,18,10473
5,1,23,21,14353
6,1,23,21,14353
7,1,23,19,6637
1,1,24,21,14128
2,1,24,21,14128
3,1,24,19,11434
4,1,24,19,11434
5,1,24,23,15670
6,1,24,23,15670
7,1,24,21,7246
1,1,25,98,66498
2,1,25,98,66498
3,1,25,91,53817
4,1,25,91,53817
5,1,25,110,73754
6,1,25,110,73754
7,1,25,98,34106
1,1,26,27,18076
2,1,26,27,18076
3,1,26,25,14629
4,1,26,25,14629
5,1,26,30,20048
6,1,26,30,20048
7,1,26,27,9271
1,1,27,37,25258
2,1,27,37,25258
3,1,27,35,20441
4,1,27,35,20441
5,1,27,42,28014
6,1,27,42,28014
7,1,27,37,12955
1,1,28,44,30017
2,1,28,44,30017
3,1,28,41,24293
4,1,28,41,24293
5,1,28,50,33292
6,1,28,50,33292
7,1,28,44,15395
1,1,29,145,98181
2,1,29,145,98181
3,1,29,135,79458
4,1,29,135,79458
5,1,29,163,108894
6,1,29,163,108894
7,1,29,145,50356
1,1,30,70,47366
2,1,30,70,47366
3,1,30,65,38333
4,1,30,65,38333
5,1,30,79,52534
6,1,30,79,52534
7,1,30,70,24293
1,1,31,79,53730
2,1,31,79,53730
3,1,31,74,43483
4,1,31,74,43483
5,1,31,89,59593
6,1,31,89,59593
7,1,31,79,27558
1,1,32,8,5119
2,1,32,8,5119
3,1,32,7,4142
4,1,32,7,4142
5,1,32,8,5677
6,1,32,8,5677
7,1,32,8,2625
1,1,33,113,76839
2,1,33,113,76839
3,1,33,105,62186
4,1,33,105,62186
5,1,33,127,85223
6,1,33,127,85223
7,1,33,113,39410
1,1,34,180,122314
2,1,34,180,122314
3,1,34,168,98988
4,1,34,168,98988
5,1,34,203,135660
6,1,34,203,135660
7,1,34,180,62734
1,1,35,219,148464
2,1,35,219,148464
3,1,35,204,120151
4,1,35,204,120151
5,1,35,246,164664
6,1,35,246,164664
7,1,35,219,76146
1,1,36,177,120325
2,1,36,177,120325
3,1,36,165,97379
4,1,36,165,97379
5,1,36,199,133455
6,1,36,199,133455
7,1,36,177,61714
1,1,37,237,160526
2,1,37,237,160526
3,1,37,220,129913
4,1,37,220,129913
5,1,37,266,178042
6,1,37,266,178042
7,1,37,237,82332
1,1,38,231,156604
