%  number of nodes
39
%  number of vehicles
3
%  for each vehicle: vehicle index, home node, starting time, capacity
1,8,125,13200
2,13,106,13200
3,31,0,16500
% number of calls
7
%  for each vehicle, vehicle index, and then a list of calls that can be transported using that vehicle
1,1,3,7
2,1,3,7
3,1,2,3,4,5,6,7
% for each call: call index, origin node, destination node, size, cost of not transporting, lowerbound timewindow for pickup, upper_timewindow for pickup, lowerbound timewindow for delivery, upper_timewindow for delivery
1,17,37,4601,790000,345,417,345,1006
2,33,36,13444,430790,96,168,96,529
3,17,27,6596,200354,715,787,715,1089
4,6,1,11052,275455,0,72,0,435
5,38,33,6643,642740,107,179,107,593
6,10,38,14139,587198,300,372,300,801
7,26,6,5310,359885,178,250,178,567
%  travel times and costs: vehicle, origin node, destination node, travel time (in hours), travel cost (in Euro)
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
1,1,2,71,48031
2,1,2,71,48031
3,1,2,66,38871
1,1,3,19,12930
2,1,3,19,12930
3,1,3,18,10464
1,1,4,134,90788
2,1,4,134,90788
3,1,4,125,73474
1,1,5,66,45000
2,1,5,66,45000
3,1,5,62,36418
1,1,6,23,15911
2,1,6,23,15911
3,1,6,22,12877
1,1,7,21,14445
2,1,7,21,14445
3,1,7,20,11690
1,1,8,8,5106
2,1,8,8,5106
3,1,8,7,4132
1,1,9,52,35625
2,1,9,52,35625
3,1,9,49,28831
1,1,10,116,78762
2,1,10,116,78762
3,1,10,108,63741
1,1,11,110,74439
2,1,11,110,74439
3,1,11,102,60243
1,1,12,63,42752
2,1,12,63,42752
3,1,12,59,34599
1,1,13,58,39524
2,1,13,58,39524
3,1,13,54,31987
1,1,14,24,16035
2,1,14,24,16035
3,1,14,22,12977
1,1,15,28,18784
2,1,15,28,18784
3,1,15,26,15202
1,1,16,21,14424
2,1,16,21,14424
3,1,16,20,11673
1,1,17,32,22026
2,1,17,32,22026
3,1,17,30,17826
1,1,18,67,45672
2,1,18,67,45672
3,1,18,63,36963
1,1,19,28,18710
2,1,19,28,18710
3,1,19,26,15142
1,1,20,95,64634
2,1,20,95,64634
3,1,20,89,52308
1,1,21,97,65901
2,1,21,97,65901
3,1,21,90,53333
1,1,22,21,14128
2,1,22,21,14128
3,1,22,19,11434
1,1,23,19,12941
2,1,23,19,12941
3,1,23,18,10473
1,1,24,21,14128
2,1,24,21,14128
3,1,24,19,11434
1,1,25,98,66498
2,1,25,98,66498
3,1,25,91,53817
1,1,26,27,18076
2,1,26,27,18076
3,1,26,25,14629
1,1,27,37,25258
2,1,27,37,25258
3,1,27,35,20441
1,1,28,44,30017
2,1,28,44,30017
3,1,28,41,24293
1,1,29,145,98181
2,1,29,145,98181
3,1,29,135,79458
1,1,30,70,47366
2,1,30,70,47366
3,1,30,65,38333
1,1,31,79,53730
2,1,31,79,53730
3,1,31,74,43483
1,1,32,8,5119
2,1,32,8,5119
3,1,32,7,4142
1,1,33,113,76839
2,1,33,113,76839
3,1,33,105,62186
1,1,34,180,122314
2,1,34,180,122314
3,1,34,168,98988
1,1,35,219,148464
2,1,35,219,148464
3,1,35,204,120151
1,1,36,177,120325
2,1,36,177,120325
3,1,36,165,97379
1,1,37,237,160526
2,1,37,237,160526
3,1,37,220,129913
1,1,38,231,156604
2,1,38,231,156604
3,1,38,215,126739
1,1,39,179,121279
2,1,39,179,121279
3,1,39,166,98151
1,2,1,71,48031
2,2,1,71,48031
3,2,1,66,38871
1,2,2,0,0
2,2,2,0,0
3,2,2,0,0
1,2,3,55,37544
2,2,3,55,37544
3,2,3,51,30385
1,2,4,81,55207
2,2,4,81,55207
3,2,4,76,44679
1,2,5,51,34473
2,2,5,51,34473
3,2,5,47,27899
1,2,6,54,36752
2,2,6,54,36752
3,2,6,50,29744
1,2,7,51,34311
2,2,7,51,34311
3,2,7,47,27768
1,2,8,74,50058
2,2,8,74,50058
3,2,8,69,40512
1,2,9,119,80577
2,2,9,119,80577
3,2,9,111,65211
1,2,10,64,43181
2,2,10,64,43181
3,2,10,59,34946
1,2,11,57,38858
2,2,11,57,38858
3,2,11,53,31448
1,2,12,14,9328
2,2,12,14,9328
3,2,12,13,7549
1,2,13,18,12169
2,2,13,18,12169
3,2,13,17,9848
1,2,14,48,32497
2,2,14,48,32497
3,2,14,45,26299
1,2,15,66,44472
2,2,15,66,44472
3,2,15,61,35991
1,2,16,52,35265
2,2,16,52,35265
3,2,16,48,28540
1,2,17,99,66978
2,2,17,99,66978
3,2,17,92,54206
1,2,18,122,82897
2,2,18,122,82897
3,2,18,114,67088
1,2,19,83,56587
2,2,19,83,56587
3,2,19,78,45796
1,2,20,43,29053
2,2,20,43,29053
3,2,20,40,23512
1,2,21,45,30320
2,2,21,45,30320
3,2,21,42,24538
1,2,22,87,59080
2,2,22,87,59080
3,2,22,81,47813
1,2,23,85,57893
2,2,23,85,57893
3,2,23,79,46853
1,2,24,87,59080
2,2,24,87,59080
3,2,24,81,47813
1,2,25,46,30917
2,2,25,46,30917
3,2,25,42,25021
1,2,26,50,34134
2,2,26,50,34134
3,2,26,47,27624
1,2,27,103,70210
2,2,27,103,70210
3,2,27,96,56821
1,2,28,31,21154
2,2,28,31,21154
3,2,28,29,17120
1,2,29,92,62600
2,2,29,92,62600
3,2,29,86,50662
1,2,30,3,2090
2,2,30,3,2090
3,2,30,3,1691
1,2,31,27,18149
2,2,31,27,18149
3,2,31,25,14688
1,2,32,66,44797
2,2,32,66,44797
3,2,32,61,36254
1,2,33,61,41258
2,2,33,61,41258
3,2,33,57,33390
1,2,34,128,86733
2,2,34,128,86733
3,2,34,119,70193
1,2,35,166,112883
2,2,35,166,112883
3,2,35,155,91356
1,2,36,125,84744
2,2,36,125,84744
3,2,36,116,68583
1,2,37,184,124945
2,2,37,184,124945
3,2,37,171,101118
1,2,38,178,121023
2,2,38,178,121023
3,2,38,166,97944
1,2,39,126,85698
2,2,39,126,85698
3,2,39,118,69355
1,3,1,19,12930
2,3,1,19,12930
3,3,1,18,10464
1,3,2,55,37544
2,3,2,55,37544
3,3,2,51,30385
1,3,3,0,0
2,3,3,0,0
3,3,3,0,0
1,3,4,118,80302
2,3,4,118,80302
3,3,4,110,64988
1,3,5,51,34514
2,3,5,51,34514
3,3,5,47,27932
1,3,6,7,4969
2,3,6,7,4969
3,3,6,7,4021
1,3,7,5,3506
2,3,7,5,3506
3,3,7,5,2837
1,3,8,22,14957
2,3,8,22,14957
3,3,8,21,12105
1,3,9,67,45476
2,3,9,67,45476
3,3,9,62,36804
1,3,10,101,68275
2,3,10,101,68275
3,3,10,94,55255
1,3,11,94,63953
2,3,11,94,63953
3,3,11,88,51757
1,3,12,48,32266
2,3,12,48,32266
3,3,12,44,26113
1,3,13,43,29038
2,3,13,43,29038
3,3,13,40,23501
1,3,14,8,5238
2,3,14,8,5238
3,3,14,7,4239
1,3,15,20,13653
2,3,15,20,13653
3,3,15,19,11049
1,3,16,5,3482
2,3,16,5,3482
3,3,16,5,2818
1,3,17,47,31878
2,3,17,47,31878
3,3,17,44,25799
1,3,18,73,49630
2,3,18,73,49630
3,3,18,68,40165
1,3,19,34,22923
2,3,19,34,22923
3,3,19,31,18551
1,3,20,80,54147
2,3,20,80,54147
3,3,20,74,43821
1,3,21,82,55414
2,3,21,82,55414
3,3,21,76,44847
1,3,22,35,23980
2,3,22,35,23980
3,3,22,33,19407
1,3,23,34,22793
2,3,23,34,22793
3,3,23,31,18446
1,3,24,35,23980
2,3,24,35,23980
3,3,24,33,19407
1,3,25,83,56012
2,3,25,83,56012
3,3,25,77,45331
1,3,26,12,8073
2,3,26,12,8073
3,3,26,11,6533
1,3,27,52,35109
2,3,27,52,35109
3,3,27,48,28414
1,3,28,29,19531
2,3,28,29,19531
3,3,28,27,15806
1,3,29,129,87695
2,3,29,129,87695
3,3,29,120,70971
1,3,30,54,36880
2,3,30,54,36880
3,3,30,51,29846
1,3,31,64,43244
2,3,31,64,43244
3,3,31,59,34997
1,3,32,14,9697
2,3,32,14,9697
3,3,32,13,7847
1,3,33,98,66353
2,3,33,98,66353
3,3,33,91,53699
1,3,34,165,111828
2,3,34,165,111828
3,3,34,153,90502
1,3,35,203,137978
2,3,35,203,137978
3,3,35,189,111665
1,3,36,162,109839
2,3,36,162,109839
3,3,36,151,88892
1,3,37,221,150040
2,3,37,221,150040
3,3,37,206,121427
1,3,38,215,146118
2,3,38,215,146118
3,3,38,200,118253
1,3,39,163,110793
